直播源,#genre#
CCTV-15,http://118.114.121.52:19999/udp/239.93.0.103:5140
CCTV-15,http://115.58.216.155:4000/rtp/225.1.4.216:1269
CCTV-15,http://182.90.9.145:8888/rtp/239.81.0.230:4056
CCTV-15,http://171.213.130.126:6699/udp/239.93.0.103:5140
CCTV-15,http://123.144.176.135:8001/udp/225.0.4.220:7980
CCTV-15,http://211.158.177.75:8001/udp/225.0.4.220:7980
CCTV-15,http://180.141.51.66:4022/udp/239.81.0.230:4056
CCTV-15,http://36.62.125.161:4000/rtp/238.1.78.222:7648
CCTV-15,http://220.174.36.41:8888/rtp/239.253.64.72:5140
CCTV-16,http://115.58.216.155:4000/rtp/225.1.5.46:1356
CCTV-16,http://60.220.167.11:8085/rtp/226.0.2.169:9264
CCTV-16,http://220.174.36.41:8888/rtp/239.253.64.251:5140
CCTV-17,http://118.114.121.52:19999/udp/239.93.0.92:5140
CCTV-17,http://115.58.216.155:4000/rtp/225.1.4.226:2506
CCTV-17,http://182.90.9.145:8888/rtp/239.81.0.228:4056
CCTV-17,http://113.9.184.165:16866/udp/229.58.190.211:5000
CCTV-17,http://171.213.130.126:6699/udp/239.93.0.92:5140
CCTV-17,http://123.144.176.135:8001/udp/225.0.4.179:7980
CCTV-17,http://211.158.177.75:8001/udp/225.0.4.179:7980
CCTV-17,http://60.220.167.11:8085/rtp/226.0.2.170:9272
CCTV-17,http://180.141.51.66:4022/udp/239.81.0.228:4056
CCTV-17,http://116.227.100.73:9200/udp/239.45.3.52:5140
CCTV-17,http://36.62.125.161:4000/rtp/238.1.78.178:7296
CCTV-17,http://220.174.36.41:8888/rtp/239.253.64.67:5140
CCTV-5+,http://118.114.121.52:19999/udp/239.93.1.36:8004
CCTV-5+,http://115.58.216.155:4000/rtp/225.1.4.75:1104
CCTV-5+,http://182.90.9.145:8888/rtp/239.81.0.101:4056
CCTV-5+,http://113.9.184.165:16866/udp/229.58.190.154:5000
CCTV-5+,http://171.213.130.126:6699/udp/239.93.1.36:8004
CCTV-5+,http://123.144.176.135:8001/udp/225.0.4.73:7980
CCTV-5+,http://211.158.177.75:8001/udp/225.0.4.73:7980
CCTV-5+,http://60.220.167.11:8085/rtp/226.0.2.168:9256
CCTV-5+,http://180.141.51.66:4022/udp/239.81.0.101:4056
CCTV-5+,http://36.62.125.161:4000/rtp/238.1.78.237:7768
CCTV-5+,http://220.174.36.41:8888/rtp/239.253.64.100:5140
安徽卫视,http://118.114.121.52:19999/udp/239.93.1.106:5140
安徽卫视,http://115.58.216.155:4000/rtp/225.1.4.87:1116
安徽卫视,http://182.90.9.145:8888/rtp/239.81.0.211:4056
安徽卫视,http://113.9.184.165:16866/udp/229.58.190.162:5000
安徽卫视,http://171.213.130.126:6699/udp/239.93.1.106:5140
安徽卫视,http://123.144.176.135:8001/udp/225.0.4.133:7980
安徽卫视,http://211.158.177.75:8001/udp/225.0.4.133:7980
安徽卫视,http://60.220.167.11:8085/rtp/226.0.2.145:9072
安徽卫视,http://180.141.51.66:4022/udp/239.81.0.211:4056
安徽卫视,http://116.227.100.73:9200/udp/239.45.1.120:5140
安徽卫视,http://36.62.125.161:4000/rtp/238.1.79.27:4328
安徽卫视,http://36.62.125.161:4000/rtp/238.1.78.150:7072
北京卫视,http://118.114.121.52:19999/udp/239.93.0.180:5140
北京卫视,http://115.58.216.155:4000/rtp/225.1.4.81:1110
北京卫视,http://182.90.9.145:8888/rtp/239.81.0.109:4056
北京卫视,http://113.9.184.165:16866/udp/229.58.190.172:5000
北京卫视,http://171.213.130.126:6699/udp/239.93.0.180:5140
北京卫视,http://123.144.176.135:8001/udp/225.0.4.78:7980
北京卫视,http://211.158.177.75:8001/udp/225.0.4.78:7980
北京卫视,http://60.220.167.11:8085/rtp/226.0.2.177:9328
